AREA,RAINFALL,AVG_TEMPERATURE,HUMIDITY,GROUND_WATERLEVEL,PRODUCTION
108608,8.18,24.1,64,4.71,376544
141154,166,26.4,74.3,5.86,429108
103207,10.98,24.1,60.1,6.07,332223
133365,137.04,28,73,5.67,345015
48545,7.3,24.6,64,6.47,152965
122858,179.24,29.4,71,6.1,395726
64718,14.85,23.9,62.1,6.63,206321
65453,107.94,27.9,69.6,8.33,147989
18182,14.85,23.8,65.2,10.14,50382
146979,204.94,26.3,72.5,8.86,501639
119417,13.68,24.8,59.8,5.96,410675
166750,178.16,27.1,74,5.13,521094
166759,7.94,24.1,63.8,4.42,548470
130000,164.18,26.3,71.2,2.45,441000
152000,28.28,24.5,64.3,2.7,545000
160406,175.8,26,71,2.418,543135
175551,2.5,24.1,65.3,3.022,632861
84886,123.14,25,72,3.39,274182
77439,9.58,24.6,64.6,3.98,239209
159548,235.82,28.8,74,2.58,523465
221971,12.86,24.6,63,2.592,828396
185727,139.84,28.4,77,2.84,601858
157649,9.83,24.9,59,3.65,518192
