YEAR,AREA,RAINFALL,AVG_TEMPERATURE,HUMIDITY,GROUND_WATERLEVEL,PRODUCTION
2000,66576,197.1,28.7,72,4.025,166048
2001,80520,166,26.4,74.3,5.86,103729
2002,46302,137.04,28,73,5.67,71087
2003,48689,179.24,29.4,71,6.1,106829
2004,100110,107.94,27.9,69.6,8.33,124843
2005,117500,204.94,26.3,72.5,8.86,269559
2006,117151,178.16,27.1,74,5.13,223276
2007,137000,164.18,26.3,71.2,2.45,452000
2008,180127,175.8,26,71,2.418,425947
2009,199553,123.14,25,72,3.39,461320
2010,235396,235.82,28.8,74,2.58,502640
2011,235245,139.84,28.4,77,2.84,293364
2012,143581,188.12,28,72.4,2.968,318254
2013,231378,253.02,27.8,73.4,1.876,669212
2014,214586,117.98,29.2,65.8,3.042,585694
2000,9921,197.1,28.7,72,4.025,21856
2000,2042,8.18,24.1,64,4.71,4721
2001,6989,166,26.4,74.3,5.86,13230
2001,2324,10.98,24.1,60.1,6.07,6403
2002,9430,137.04,28,73,5.67,12985
2002,1577,7.3,24.6,64,6.47,3920
2003,10138,179.24,29.4,71,6.1,17133
2003,2052,14.85,23.9,62.1,6.63,6696
2004,9411,107.94,27.9,69.6,8.33,13062
2004,740,14.85,23.8,65.2,10.14,2214
2005,4636,204.94,26.3,72.5,8.86,6908
2005,576,13.68,24.8,59.8,5.96,1731
2006,6377,178.16,27.1,74,5.13,11530
2006,446,7.94,24.1,63.8,4.42,1456
2007,6000,164.18,26.3,71.2,2.45,13000
2008,5517,175.8,26,71,2.418,10852
2009,3810,123.14,25,72,3.39,4119
2010,3772,235.82,28.8,74,2.58,5798
2011,5001,139.84,28.4,77,2.84,8527
2011,128,9.83,24.9,59,3.65,417
2012,6395,188.12,28,72.4,2.968,11509
2012,1040,25.65,24.7,63.8,3.482,2967
2013,4593,253.02,27.8,73.4,1.876,12291
2013,92,16.1,24.2,63.2,2.632,404
2014,3923,117.98,29.2,65.8,3.042,9835
2014,415,14.4,24.8,68.2,5.064,1702
2000,5537,197.1,28.7,72,4.025,3295
2000,16415,8.18,24.1,64,4.71,31468
2001,4967,166,26.4,74.3,5.86,2965
2001,14243,10.98,24.1,60.1,6.07,27888
2002,3383,137.04,28,73,5.67,1685
2002,11852,7.3,24.6,64,6.47,19485
2003,2224,179.24,29.4,71,6.1,1099
2003,14564,14.85,23.9,62.1,6.63,30657
2004,1322,107.94,27.9,69.6,8.33,1133
2004,16453,14.85,23.8,65.2,10.14,16766
2005,474,204.94,26.3,72.5,8.86,419
2005,13631,13.68,24.8,59.8,5.96,25585
2006,499,178.16,27.1,74,5.13,341
2006,13016,7.94,24.1,63.8,4.42,24626
2007,15000,28.28,24.5,64.3,2.7,23000
2008,623,175.8,26,71,2.418,677
2008,16157,2.5,24.1,65.3,3.022,29567
2009,432,123.14,25,72,3.39,618
2009,13542,9.58,24.6,64.6,3.98,20733
2010,249,235.82,28.8,74,2.58,157
2010,10502,12.86,24.6,63,2.592,15480
2011,173,139.84,28.4,77,2.84,195
2011,7747,9.83,24.9,59,3.65,12558
2012,1542,188.12,28,72.4,2.968,982
2012,12932,25.65,24.7,63.8,3.482,22072
2013,133,253.02,27.8,73.4,1.876,152
2013,10886,16.1,24.2,63.2,2.632,16471
2014,25,117.98,29.2,65.8,3.042,19
2014,6947,14.4,24.8,68.2,5.064,14366
2000,202,197.1,28.7,72,4.025,146
2000,1323,8.18,24.1,64,4.71,1429
2001,1054,166,26.4,74.3,5.86,1011
2001,1070,10.98,24.1,60.1,6.07,1036
2002,229,137.04,28,73,5.67,225
2002,1554,7.3,24.6,64,6.47,1248
2003,1044,179.24,29.4,71,6.1,955
2003,1023,14.85,23.9,62.1,6.63,948
2004,145,107.94,27.9,69.6,8.33,127
2004,2411,14.85,23.8,65.2,10.14,2343
2005,258,204.94,26.3,72.5,8.86,310
2005,1664,13.68,24.8,59.8,5.96,1354
2006,37,178.16,27.1,74,5.13,39
2006,347,7.94,24.1,63.8,4.42,327
2009,956,9.58,24.6,64.6,3.98,806
2010,16,235.82,28.8,74,2.58,15
2010,239,12.86,24.6,63,2.592,310
2011,233,9.83,24.9,59,3.65,48
2012,312,188.12,28,72.4,2.968,299
2012,1018,25.65,24.7,63.8,3.482,920
2013,124,253.02,27.8,73.4,1.876,151
2013,124,16.1,24.2,63.2,2.632,151
2014,4,117.98,29.2,65.8,3.042,4
2014,1271,14.4,24.8,68.2,5.064,1940
2000,80327,197.1,28.7,72,4.025,257689
2000,33249,8.18,24.1,64,4.71,167741
2001,57645,166,26.4,74.3,5.86,202910
2001,31797,10.98,24.1,60.1,6.07,150940
2002,74184,137.04,28,73,5.67,228264
2002,31572,7.3,24.6,64,6.47,139359
2003,116523,179.24,29.4,71,6.1,450711
2003,46262,14.85,23.9,62.1,6.63,218125
2004,94970,107.94,27.9,69.6,8.33,216057
2004,30904,14.85,23.8,65.2,10.14,109029
2005,134439,204.94,26.3,72.5,8.86,526463
2005,40868,13.68,24.8,59.8,5.96,203277
2006,95318,178.16,27.1,74,5.13,313024
2006,44854,7.94,24.1,63.8,4.42,215568
2007,90000,164.18,26.3,71.2,2.45,524000
2007,65000,28.28,24.5,64.3,2.7,377000
2008,75779,175.8,26,71,2.418,334716
2008,60551,2.5,24.1,65.3,3.022,294944
2009,60308,123.14,25,72,3.39,153725
2009,40275,9.58,24.6,64.6,3.98,191226
2010,57065,235.82,28.8,74,2.58,265809
2010,34092,12.86,24.6,63,2.592,170051
2011,53120,139.84,28.4,77,2.84,168497
2011,44181,9.83,24.9,59,3.65,197047
2012,79012,188.12,28,72.4,2.968,279978
2012,43540,25.65,24.7,63.8,3.482,204378
2013,62879,253.02,27.8,73.4,1.876,322506
2013,51457,16.1,24.2,63.2,2.632,302104
2014,53598,117.98,29.2,65.8,3.042,245318
2014,54493,14.4,24.8,68.2,5.064,296987
2000,35716,197.1,28.7,72,4.025,14036
2000,149,8.18,24.1,64,4.71,50
2001,29931,166,26.4,74.3,5.86,8650
2001,1157,10.98,24.1,60.1,6.07,353
2002,24429,137.04,28,73,5.67,5032
2002,1234,7.3,24.6,64,6.47,315
2003,28608,179.24,29.4,71,6.1,10671
2003,1949,14.85,23.9,62.1,6.63,659
2004,13872,107.94,27.9,69.6,8.33,2705
2004,1370,14.85,23.8,65.2,10.14,447
2005,17297,204.94,26.3,72.5,8.86,5379
2005,1197,13.68,24.8,59.8,5.96,640
2006,11841,178.16,27.1,74,5.13,2617
2006,2344,7.94,24.1,63.8,4.42,2021
2007,12000,164.18,26.3,71.2,2.45,5000
2007,2000,28.28,24.5,64.3,2.7,2000
2008,10316,175.8,26,71,2.418,4230
2008,1263,2.5,24.1,65.3,3.022,1118
2009,6629,123.14,25,72,3.39,1352
2009,3513,9.58,24.6,64.6,3.98,1623
2010,8213,235.82,28.8,74,2.58,3162
2010,2089,12.86,24.6,63,2.592,1157
2011,6549,139.84,28.4,77,2.84,2744
2011,4653,9.83,24.9,59,3.65,3234
2012,2700,188.12,28,72.4,2.968,6200
2012,2500,25.65,24.7,63.8,3.482,4200
2013,4667,253.02,27.8,73.4,1.876,2488
2013,4470,16.1,24.2,63.2,2.632,4257
2014,3044,117.98,29.2,65.8,3.042,1129
2014,4308,14.4,24.8,68.2,5.064,2537
2000,162804,197.1,28.7,72,4.025,509694
2000,632,8.18,24.1,64,4.71,15890
2001,88,166,26.4,74.3,5.86,961
2001,582,10.98,24.1,60.1,6.07,15206
2002,91,137.04,28,73,5.67,699
2002,453,7.3,24.6,64,6.47,11320
2003,103,179.24,29.4,71,6.1,1099
2003,551,14.85,23.9,62.1,6.63,15272
2004,157,107.94,27.9,69.6,8.33,1586
2004,450,14.85,23.8,65.2,10.14,10050
2005,54,204.94,26.3,72.5,8.86,697
2005,803,13.68,24.8,59.8,5.96,15976
2006,137,178.16,27.1,74,5.13,2063
2006,340,7.94,24.1,63.8,4.42,8448
2007,1000,28.28,24.5,64.3,2.7,13000
2008,511,175.8,26,71,2.418,7345
2008,802,2.5,24.1,65.3,3.022,18085
2009,369,123.14,25,72,3.39,6416
2009,594,9.58,24.6,64.6,3.98,14416
2010,855,12.86,24.6,63,2.592,16395
2011,4,139.84,28.4,77,2.84,45
2011,669,9.83,24.9,59,3.65,18267
2012,148,188.12,28,72.4,2.968,1708
2012,639,25.65,24.7,63.8,3.482,15781
2013,669,16.1,24.2,63.2,2.632,17777
2014,18,117.98,29.2,65.8,3.042,280
2014,551,14.4,24.8,68.2,5.064,15051
2000,108608,8.18,24.1,64,4.71,376544
2001,141154,166,26.4,74.3,5.86,429108
2001,103207,10.98,24.1,60.1,6.07,332223
2002,133365,137.04,28,73,5.67,345015
2002,48545,7.3,24.6,64,6.47,152965
2003,122858,179.24,29.4,71,6.1,395726
2003,64718,14.85,23.9,62.1,6.63,206321
2004,65453,107.94,27.9,69.6,8.33,147989
2004,18182,14.85,23.8,65.2,10.14,50382
2005,146979,204.94,26.3,72.5,8.86,501639
2005,119417,13.68,24.8,59.8,5.96,410675
2006,166750,178.16,27.1,74,5.13,521094
2006,166759,7.94,24.1,63.8,4.42,548470
2007,130000,164.18,26.3,71.2,2.45,441000
2007,152000,28.28,24.5,64.3,2.7,545000
2008,160406,175.8,26,71,2.418,543135
2008,175551,2.5,24.1,65.3,3.022,632861
2009,84886,123.14,25,72,3.39,274182
2009,77439,9.58,24.6,64.6,3.98,239209
2010,159548,235.82,28.8,74,2.58,523465
2010,221971,12.86,24.6,63,2.592,828396
2011,185727,139.84,28.4,77,2.84,601858
2011,157649,9.83,24.9,59,3.65,518192
2012,145067,188.12,28,72.4,2.968,468338
2012,122976,25.65,24.7,63.8,3.482,426347
2013,209454,253.02,27.8,73.4,1.876,732042
2013,208458,16.1,24.2,63.2,2.632,768793
2014,179282,117.98,29.2,65.8,3.042,632136
2014,99151,14.4,24.8,68.2,5.064,358827
2000,415,197.1,28.7,72,4.025,64
2000,3095,8.18,24.1,64,4.71,600
2001,308,166,26.4,74.3,5.86,60
2001,3211,10.98,24.1,60.1,6.07,620
2002,304,137.04,28,73,5.67,57
2002,2098,7.3,24.6,64,6.47,373
2003,157,179.24,29.4,71,6.1,45
2003,3365,14.85,23.9,62.1,6.63,697
2004,145,107.94,27.9,69.6,8.33,39
2004,3657,14.85,23.8,65.2,10.14,1327
2005,178,204.94,26.3,72.5,8.86,43
2005,4612,13.68,24.8,59.8,5.96,2790
2006,299,178.16,27.1,74,5.13,56
2006,4549,7.94,24.1,63.8,4.42,2238
2007,3000,28.28,24.5,64.3,2.7,1000
2008,2374,2.5,24.1,65.3,3.022,1023
2009,154,123.14,25,72,3.39,16
2009,4516,9.58,24.6,64.6,3.98,2136
2010,27,235.82,28.8,74,2.58,5
2010,6252,12.86,24.6,63,2.592,2726
2011,5739,9.83,24.9,59,3.65,2169
2012,200,188.12,28,72.4,2.968,39
2012,4273,25.65,24.7,63.8,3.482,1744
2013,6083,16.1,24.2,63.2,2.632,3048
2014,10,117.98,29.2,65.8,3.042,2
2014,7269,14.4,24.8,68.2,5.064,3664
2000,5991,197.1,28.7,72,4.025,2145
2000,548,8.18,24.1,64,4.71,196
2001,4999,166,26.4,74.3,5.86,2649
2001,684,10.98,24.1,60.1,6.07,363
2002,6620,137.04,28,73,5.67,1629
2002,512,7.3,24.6,64,6.47,126
2003,11352,179.24,29.4,71,6.1,4813
2003,889,14.85,23.9,62.1,6.63,377
2004,9833,107.94,27.9,69.6,8.33,2212
2004,579,14.85,23.8,65.2,10.14,130
2005,16818,204.94,26.3,72.5,8.86,11436
2006,11789,178.16,27.1,74,5.13,5187
2007,10000,164.18,26.3,71.2,2.45,7000
2008,6542,175.8,26,71,2.418,3873
2009,6016,123.14,25,72,3.39,4416
2009,920,9.58,24.6,64.6,3.98,675
2010,9384,235.82,28.8,74,2.58,3388
2010,50,12.86,24.6,63,2.592,18
2011,9569,139.84,28.4,77,2.84,4383
2011,18,9.83,24.9,59,3.65,8
2012,8328,188.12,28,72.4,2.968,4177
2012,525,25.65,24.7,63.8,3.482,235
2013,4548,253.02,27.8,73.4,1.876,3084
2014,3126,117.98,29.2,65.8,3.042,2254
2000,12,197.1,28.7,72,4.025,4
2000,51,8.18,24.1,64,4.71,27
2001,178,166,26.4,74.3,5.86,78
2001,931,10.98,24.1,60.1,6.07,158
2002,10,137.04,28,73,5.67,5
2002,1941,7.3,24.6,64,6.47,448
