AREA,RAINFALL,AVG_TEMPERATURE,HUMIDITY,GROUND_WATERLEVEL,PRODUCTION
66576,197.1,28.7,72,4.025,166048
80520,166,26.4,74.3,5.86,103729
46302,137.04,28,73,5.67,71087
48689,179.24,29.4,71,6.1,106829
100110,107.94,27.9,69.6,8.33,124843
117500,204.94,26.3,72.5,8.86,269559
117151,178.16,27.1,74,5.13,223276
137000,164.18,26.3,71.2,2.45,452000
180127,175.8,26,71,2.418,425947
199553,123.14,25,72,3.39,461320
235396,235.82,28.8,74,2.58,502640
235245,139.84,28.4,77,2.84,293364
143581,188.12,28,72.4,2.968,318254
231378,253.02,27.8,73.4,1.876,669212
214586,117.98,29.2,65.8,3.042,585694
9921,197.1,28.7,72,4.025,21856
2042,8.18,24.1,64,4.71,4721
6989,166,26.4,74.3,5.86,13230
2324,10.98,24.1,60.1,6.07,6403
9430,137.04,28,73,5.67,12985
1577,7.3,24.6,64,6.47,3920
10138,179.24,29.4,71,6.1,17133
2052,14.85,23.9,62.1,6.63,6696
9411,107.94,27.9,69.6,8.33,13062
740,14.85,23.8,65.2,10.14,2214
4636,204.94,26.3,72.5,8.86,6908
576,13.68,24.8,59.8,5.96,1731
6377,178.16,27.1,74,5.13,11530
446,7.94,24.1,63.8,4.42,1456
6000,164.18,26.3,71.2,2.45,13000
5517,175.8,26,71,2.418,10852
3810,123.14,25,72,3.39,4119
3772,235.82,28.8,74,2.58,5798
5001,139.84,28.4,77,2.84,8527
128,9.83,24.9,59,3.65,417
6395,188.12,28,72.4,2.968,11509
1040,25.65,24.7,63.8,3.482,2967
4593,253.02,27.8,73.4,1.876,12291
92,16.1,24.2,63.2,2.632,404
3923,117.98,29.2,65.8,3.042,9835
415,14.4,24.8,68.2,5.064,1702
5537,197.1,28.7,72,4.025,3295
16415,8.18,24.1,64,4.71,31468
4967,166,26.4,74.3,5.86,2965
14243,10.98,24.1,60.1,6.07,27888
3383,137.04,28,73,5.67,1685
11852,7.3,24.6,64,6.47,19485
2224,179.24,29.4,71,6.1,1099
14564,14.85,23.9,62.1,6.63,30657
1322,107.94,27.9,69.6,8.33,1133
16453,14.85,23.8,65.2,10.14,16766
474,204.94,26.3,72.5,8.86,419
13631,13.68,24.8,59.8,5.96,25585
499,178.16,27.1,74,5.13,341
13016,7.94,24.1,63.8,4.42,24626
15000,28.28,24.5,64.3,2.7,23000
623,175.8,26,71,2.418,677
16157,2.5,24.1,65.3,3.022,29567
432,123.14,25,72,3.39,618
13542,9.58,24.6,64.6,3.98,20733
249,235.82,28.8,74,2.58,157
10502,12.86,24.6,63,2.592,15480
173,139.84,28.4,77,2.84,195
7747,9.83,24.9,59,3.65,12558
1542,188.12,28,72.4,2.968,982
12932,25.65,24.7,63.8,3.482,22072
133,253.02,27.8,73.4,1.876,152
10886,16.1,24.2,63.2,2.632,16471
25,117.98,29.2,65.8,3.042,19
6947,14.4,24.8,68.2,5.064,14366
202,197.1,28.7,72,4.025,146
1323,8.18,24.1,64,4.71,1429
1054,166,26.4,74.3,5.86,1011
1070,10.98,24.1,60.1,6.07,1036
229,137.04,28,73,5.67,225
1554,7.3,24.6,64,6.47,1248
1044,179.24,29.4,71,6.1,955
1023,14.85,23.9,62.1,6.63,948
145,107.94,27.9,69.6,8.33,127
2411,14.85,23.8,65.2,10.14,2343
258,204.94,26.3,72.5,8.86,310
1664,13.68,24.8,59.8,5.96,1354
37,178.16,27.1,74,5.13,39
347,7.94,24.1,63.8,4.42,327
956,9.58,24.6,64.6,3.98,806
