AREA,RAINFALL,AVG_TEMPERATURE,HUMIDITY,GROUND_WATERLEVEL,PRODUCTION
66576,197.1,28.7,72,4.025,166048
80520,166,26.4,74.3,5.86,103729
46302,137.04,28,73,5.67,71087
48689,179.24,29.4,71,6.1,106829
100110,107.94,27.9,69.6,8.33,124843
117500,204.94,26.3,72.5,8.86,269559
117151,178.16,27.1,74,5.13,223276
137000,164.18,26.3,71.2,2.45,452000
180127,175.8,26,71,2.418,425947
199553,123.14,25,72,3.39,461320
235396,235.82,28.8,74,2.58,502640
235245,139.84,28.4,77,2.84,293364
143581,188.12,28,72.4,2.968,318254
231378,253.02,27.8,73.4,1.876,669212
214586,117.98,29.2,65.8,3.042,585694
