AREA,RAINFALL,AVG_TEMPERATURE,HUMIDITY,GROUND_WATERLEVEL,PRODUCTION
9921,197.1,28.7,72,4.025,21856
2042,8.18,24.1,64,4.71,4721
6989,166,26.4,74.3,5.86,13230
2324,10.98,24.1,60.1,6.07,6403
9430,137.04,28,73,5.67,12985
1577,7.3,24.6,64,6.47,3920
10138,179.24,29.4,71,6.1,17133
2052,14.85,23.9,62.1,6.63,6696
9411,107.94,27.9,69.6,8.33,13062
740,14.85,23.8,65.2,10.14,2214
4636,204.94,26.3,72.5,8.86,6908
576,13.68,24.8,59.8,5.96,1731
6377,178.16,27.1,74,5.13,11530
446,7.94,24.1,63.8,4.42,1456
6000,164.18,26.3,71.2,2.45,13000
5517,175.8,26,71,2.418,10852
3810,123.14,25,72,3.39,4119
3772,235.82,28.8,74,2.58,5798
5001,139.84,28.4,77,2.84,8527
128,9.83,24.9,59,3.65,417
6395,188.12,28,72.4,2.968,11509
1040,25.65,24.7,63.8,3.482,2967
4593,253.02,27.8,73.4,1.876,12291
92,16.1,24.2,63.2,2.632,404
3923,117.98,29.2,65.8,3.042,9835
415,14.4,24.8,68.2,5.064,1702
