AREA,RAINFALL,AVG_TEMPERATURE,HUMIDITY,GROUND_WATERLEVEL,PRODUCTION
16415,8.18,24.1,64,4.71,31468
4967,166,26.4,74.3,5.86,2965
14243,10.98,24.1,60.1,6.07,27888
3383,137.04,28,73,5.67,1685
11852,7.3,24.6,64,6.47,19485
2224,179.24,29.4,71,6.1,1099
14564,14.85,23.9,62.1,6.63,30657
1322,107.94,27.9,69.6,8.33,1133
16453,14.85,23.8,65.2,10.14,16766
474,204.94,26.3,72.5,8.86,419
13631,13.68,24.8,59.8,5.96,25585
499,178.16,27.1,74,5.13,341
13016,7.94,24.1,63.8,4.42,24626
15000,28.28,24.5,64.3,2.7,23000
623,175.8,26,71,2.418,677
16157,2.5,24.1,65.3,3.022,29567
432,123.14,25,72,3.39,618
13542,9.58,24.6,64.6,3.98,20733
249,235.82,28.8,74,2.58,157
10502,12.86,24.6,63,2.592,15480
173,139.84,28.4,77,2.84,195
7747,9.83,24.9,59,3.65,12558
1542,188.12,28,72.4,2.968,982
12932,25.65,24.7,63.8,3.482,22072
133,253.02,27.8,73.4,1.876,152
10886,16.1,24.2,63.2,2.632,16471
25,117.98,29.2,65.8,3.042,19
6947,14.4,24.8,68.2,5.064,14366
