YEAR,SEASON,CROP,AREA,RAINFALL,MAX_TEMPERATURE,MIN_TEMPERATURE,AVG_TEMPERATURE,HUMIDITY,GROUND_WATERLEVEL,PRODUCTION
2000,Kharif     ,Tur,5991,197.1,38.1,18.6,28.7,72,4.025,2145
2000,Kharif     ,Cotton,66576,197.1,38.1,18.6,28.7,72,4.025,166048
2000,Kharif     ,Drychillies,9921,197.1,38.1,18.6,28.7,72,4.025,21856
2000,Kharif     ,Groundnut,5537,197.1,38.1,18.6,28.7,72,4.025,3295
2000,Kharif     ,Jowar,202,197.1,38.1,18.6,28.7,72,4.025,146
2000,Kharif     ,Maize,80327,197.1,38.1,18.6,28.7,72,4.025,257689
2000,Kharif     ,Moong,35716,197.1,38.1,18.6,28.7,72,4.025,14036
2000,Kharif     ,Onion,162804,197.1,38.1,18.6,28.7,72,4.025,509694
2000,Kharif     ,Sesamum,415,197.1,38.1,18.6,28.7,72,4.025,64
2000,Kharif     ,Urad,12,197.1,38.1,18.6,28.7,72,4.025,4
2000,Rabi       ,Tur,548,8.18,33.6,14.1,24.1,64,4.71,196
2000,Rabi       ,Drychillies,2042,8.18,33.6,14.1,24.1,64,4.71,4721
2000,Rabi       ,Groundnut,16415,8.18,33.6,14.1,24.1,64,4.71,31468
2000,Rabi       ,Jowar,1323,8.18,33.6,14.1,24.1,64,4.71,1429
2000,Rabi       ,Maize,33249,8.18,33.6,14.1,24.1,64,4.71,167741
2000,Rabi       ,Moong,149,8.18,33.6,14.1,24.1,64,4.71,50
2000,Rabi       ,Onion,632,8.18,33.6,14.1,24.1,64,4.71,15890
2000,Rabi       ,Rice,108608,8.18,33.6,14.1,24.1,64,4.71,376544
2000,Rabi       ,Sesamum,3095,8.18,33.6,14.1,24.1,64,4.71,600
2000,Rabi       ,Urad,51,8.18,33.6,14.1,24.1,64,4.71,27
2001,Kharif     ,Tur,4999,166,36.3,16.2,26.4,74.3,5.86,2649
2001,Kharif     ,Cotton,80520,166,36.3,16.2,26.4,74.3,5.86,103729
2001,Kharif     ,Drychillies,6989,166,36.3,16.2,26.4,74.3,5.86,13230
2001,Kharif     ,Groundnut,4967,166,36.3,16.2,26.4,74.3,5.86,2965
2001,Kharif     ,Jowar,1054,166,36.3,16.2,26.4,74.3,5.86,1011
2001,Kharif     ,Maize,57645,166,36.3,16.2,26.4,74.3,5.86,202910
2001,Kharif     ,Moong,29931,166,36.3,16.2,26.4,74.3,5.86,8650
2001,Kharif     ,Onion,88,166,36.3,16.2,26.4,74.3,5.86,961
2001,Kharif     ,Rice,141154,166,36.3,16.2,26.4,74.3,5.86,429108
2001,Kharif     ,Sesamum,308,166,36.3,16.2,26.4,74.3,5.86,60
2001,Kharif     ,Urad,178,166,36.3,16.2,26.4,74.3,5.86,78
2001,Rabi       ,Tur,684,10.98,34.1,13.8,24.1,60.1,6.07,363
2001,Rabi       ,Drychillies,2324,10.98,34.1,13.8,24.1,60.1,6.07,6403
2001,Rabi       ,Groundnut,14243,10.98,34.1,13.8,24.1,60.1,6.07,27888
2001,Rabi       ,Jowar,1070,10.98,34.1,13.8,24.1,60.1,6.07,1036
2001,Rabi       ,Maize,31797,10.98,34.1,13.8,24.1,60.1,6.07,150940
2001,Rabi       ,Moong,1157,10.98,34.1,13.8,24.1,60.1,6.07,353
2001,Rabi       ,Onion,582,10.98,34.1,13.8,24.1,60.1,6.07,15206
2001,Rabi       ,Rice,103207,10.98,34.1,13.8,24.1,60.1,6.07,332223
2001,Rabi       ,Sesamum,3211,10.98,34.1,13.8,24.1,60.1,6.07,620
2001,Rabi       ,Urad,931,10.98,34.1,13.8,24.1,60.1,6.07,158
2002,Kharif     ,Tur,6620,137.04,37.2,17.4,28,73,5.67,1629
2002,Kharif     ,Cotton,46302,137.04,37.2,17.4,28,73,5.67,71087
2002,Kharif     ,Drychillies,9430,137.04,37.2,17.4,28,73,5.67,12985
2002,Kharif     ,Groundnut,3383,137.04,37.2,17.4,28,73,5.67,1685
2002,Kharif     ,Jowar,229,137.04,37.2,17.4,28,73,5.67,225
2002,Kharif     ,Maize,74184,137.04,37.2,17.4,28,73,5.67,228264
2002,Kharif     ,Moong,24429,137.04,37.2,17.4,28,73,5.67,5032
2002,Kharif     ,Onion,91,137.04,37.2,17.4,28,73,5.67,699
2002,Kharif     ,Rice,133365,137.04,37.2,17.4,28,73,5.67,345015
2002,Kharif     ,Sesamum,304,137.04,37.2,17.4,28,73,5.67,57
2002,Kharif     ,Urad,10,137.04,37.2,17.4,28,73,5.67,5
2002,Rabi       ,Tur,512,7.3,33.8,15.3,24.6,64,6.47,126
2002,Rabi       ,Drychillies,1577,7.3,33.8,15.3,24.6,64,6.47,3920
2002,Rabi       ,Groundnut,11852,7.3,33.8,15.3,24.6,64,6.47,19485
2002,Rabi       ,Jowar,1554,7.3,33.8,15.3,24.6,64,6.47,1248
2002,Rabi       ,Maize,31572,7.3,33.8,15.3,24.6,64,6.47,139359
2002,Rabi       ,Moong,1234,7.3,33.8,15.3,24.6,64,6.47,315
2002,Rabi       ,Onion,453,7.3,33.8,15.3,24.6,64,6.47,11320
2002,Rabi       ,Rice,48545,7.3,33.8,15.3,24.6,64,6.47,152965
2002,Rabi       ,Sesamum,2098,7.3,33.8,15.3,24.6,64,6.47,373
2002,Rabi       ,Urad,1941,7.3,33.8,15.3,24.6,64,6.47,448
2003,Kharif     ,Tur,11352,179.24,37.5,18.3,29.4,71,6.1,4813
